window,tier,model,n_features,price_r2,return_r2,price_mae,hit_rate,spearman_weekly
6,+MktCtx,LGB,78,0.9622809079206613,-4.040856763128954,14.971296161542016,0.5202127659574468,0.02114558793736931
6,+MktCtx,LSTM,78,0.9764203755026238,-16.655674848767493,12.533957395494955,0.5351063829787234,0.03127953413643747
6,+MktCtx,RF,78,0.9708585247058986,-3.6159925277755596,13.107391178074039,0.5122340425531915,0.015883431439114224
6,+MktCtx,XGB,78,0.9653159873726948,-3.89325191516986,14.239440328464154,0.5180851063829788,0.022170947709653183
6,+Tech,LGB,54,0.9615673425036733,-3.993267804838969,14.83057811829492,0.5255319148936171,0.019772577602180524
6,+Tech,LSTM,54,0.9623170173705795,-9.901764470797856,15.3920100263792,0.5154255319148936,0.04211872116123221
6,+Tech,RF,54,0.9722591944381924,-3.3531150789043114,12.722746518792908,0.5260638297872341,0.017759198051755846
6,+Tech,XGB,54,0.965341239976236,-3.742623125895256,14.065984661421492,0.527127659574468,0.014447800937545618
6,OHLCV,LGB,30,0.959690742560713,-4.095365213846688,15.062862471345118,0.5202127659574468,0.04396517316098247
6,OHLCV,LSTM,30,0.9761935397080361,-18.62153095987474,12.53997440300721,0.5361702127659574,0.036616703828361144
6,OHLCV,RF,30,0.9721250953263527,-3.254370748435285,12.601378755447389,0.527127659574468,0.022545080576471668
6,OHLCV,XGB,30,0.9679777901515414,-3.530742955214211,13.566637111546711,0.5324468085106383,0.03337194064601268
11,+MktCtx,LGB,143,0.9622291360007778,-4.0583848095161095,14.939263221036844,0.5234042553191489,0.03561283668842196
11,+MktCtx,LSTM,143,0.9758117381083173,-16.962931795600973,13.188627788165565,0.5122340425531915,0.0319426364311525
11,+MktCtx,RF,143,0.9714073880037879,-3.5084526810174212,12.967283838065159,0.5101063829787233,0.008161226999648077
11,+MktCtx,XGB,143,0.9624533644168393,-3.980901863891247,14.654539779023139,0.5164893617021277,0.01788373498605631
11,+Tech,LGB,99,0.9644168192459515,-3.968117600012418,14.403085160220751,0.5154255319148936,0.015312217894539753
11,+Tech,LSTM,99,0.9798831847128977,-4.9711072098628115,11.492494003281156,0.5351063829787234,0.026140081310611
11,+Tech,RF,99,0.9734368653704373,-3.3344172481178473,12.518773964642797,0.5170212765957447,0.007156539997432887
11,+Tech,XGB,99,0.9675639634526003,-3.801691144328114,13.67185709254523,0.5340425531914894,0.014943297194497178
11,OHLCV,LGB,55,0.9625300752063117,-4.141413528885087,14.81387624974325,0.500531914893617,0.01465406284619217
11,OHLCV,LSTM,55,0.9699705077628549,-18.976717163909807,13.545247838339614,0.5234042553191489,0.0327549589711504
11,OHLCV,RF,55,0.9739576641379344,-3.2736750793848772,12.339761828746305,0.5196808510638298,0.008344038646907847
11,OHLCV,XGB,55,0.969820493727507,-3.643642801660441,13.337228747276093,0.523936170212766,0.025319934071312826
